,Year,From_League,To_League,Longitude,Latitude,Distinction,Season,From_League_name,To_League_name,Fee_total,From_To,From_Country,new_distinction
0,2018,L1,ES1,9.9486244436738,51.5298538205156,0,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,0
1,2018,L1,ES1,8.84320317973488,51.6481875574238,1,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,1
2,2018,L1,ES1,7.73157462752732,51.6637119245886,2,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,2
3,2018,L1,ES1,6.62327994929232,51.5762936756074,3,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,3
4,2018,L1,ES1,5.52783169246771,51.3866831255874,4,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,4
5,2018,L1,ES1,4.45463214302795,51.0965077111546,5,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,5
6,2018,L1,ES1,3.41289262520365,50.7082580220856,6,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,6
7,2018,L1,ES1,2.41155444023516,50.2252664244538,7,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,7
8,2018,L1,ES1,1.4592121227466,49.6516784587681,8,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,8
9,2018,L1,ES1,0.564039673434783,48.9924172585962,9,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,9
10,2018,L1,ES1,-0.266279598778647,48.2531412950684,10,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,10
11,2018,L1,ES1,-1.02461902296349,47.4401958099429,11,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,11
12,2018,L1,ES1,-1.7044697347462,46.5605583540854,12,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,12
13,2018,L1,ES1,-2.29999654221126,45.6217788988088,13,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,13
14,2018,L1,ES1,-2.80608800963875,44.6319150341001,14,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,14
15,2018,L1,ES1,-3.21840032920723,43.5994628099313,15,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,15
16,2018,L1,ES1,-3.53339460410874,42.5332838142471,16,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,16
17,2018,L1,ES1,-3.74836722307319,41.4425291135217,17,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,17
18,2018,L1,ES1,-3.86147306559618,40.336560708708,18,18/19,Bundesliga,LaLiga,25500000,BundesligaLaLiga,Germany,18
19,2018,ES1,L1,-3.86242229864938,40.3307214714556,0,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,0
20,2018,ES1,L1,-2.91096616914193,40.6647687500532,1,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,1
21,2018,ES1,L1,-1.97375533137846,41.036914146766,2,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,2
22,2018,ES1,L1,-1.05231459942673,41.4465521921377,3,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,3
23,2018,ES1,L1,-0.148143129862877,41.8930164172919,4,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,4
24,2018,ES1,L1,0.737288017311553,42.3755804382561,5,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,5
25,2018,ES1,L1,1.60253827204036,42.8934591377674,6,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,6
26,2018,ES1,L1,2.44619989797718,43.4458099426346,7,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,7
27,2018,ES1,L1,3.26690028283051,44.0317341945796,8,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,8
28,2018,ES1,L1,4.06330417156294,44.6502786123279,9,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,9
29,2018,ES1,L1,4.8341158388113,45.3004368425685,10,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,10
30,2018,ES1,L1,5.57808119699311,45.9811510972607,11,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,11
31,2018,ES1,L1,6.29398983666968,46.6913138746239,12,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,12
32,2018,ES1,L1,6.98067699584615,47.4297697610098,13,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,13
33,2018,ES1,L1,7.6370254550045,48.1953173107258,14,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,14
34,2018,ES1,L1,8.26196735478636,48.9867110007517,15,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,15
35,2018,ES1,L1,8.85448593336835,49.8026632571681,16,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,16
36,2018,ES1,L1,9.41361718070317,50.6418465500008,17,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,17
37,2018,ES1,L1,9.93845140693526,51.5028955530727,18,18/19,LaLiga,Bundesliga,15500000,LaLigaBundesliga,Spain,18
38,2018,L1,FR1,2.373990788677,46.8151312885301,0,18/19,Bundesliga,Ligue 1,64000000,BundesligaLigue 1,Germany,9
39,2018,L1,FR1,3.33787085411091,47.1012360918917,1,18/19,Bundesliga,Ligue 1,64000000,BundesligaLigue 1,Germany,8
40,2018,L1,FR1,4.28041882571043,47.4512704620343,2,18/19,Bundesliga,Ligue 1,64000000,BundesligaLigue 1,Germany,7
41,2018,L1,FR1,5.19739985328873,47.8636617011617,3,18/19,Bundesliga,Ligue 1,64000000,BundesligaLigue 1,Germany,6
42,2018,L1,FR1,6.08469395845426,48.336556943246,4,18/19,Bundesliga,Ligue 1,64000000,BundesligaLigue 1,Germany,5
43,2018,L1,FR1,6.93831454559573,48.8678314789201,5,18/19,Bundesliga,Ligue 1,64000000,BundesligaLigue 1,Germany,4
44,2018,L1,FR1,7.7544263135806,49.4550983017563,6,18/19,Bundesliga,Ligue 1,64000000,BundesligaLigue 1,Germany,3
45,2018,L1,FR1,8.52936248769049,50.0957188330409,7,18/19,Bundesliga,Ligue 1,64000000,BundesligaLigue 1,Germany,2
46,2018,L1,FR1,9.25964129437052,50.7868147768588,8,18/19,Bundesliga,Ligue 1,64000000,BundesligaLigue 1,Germany,1
47,2018,L1,FR1,9.94198160477199,51.5252810522219,9,18/19,Bundesliga,Ligue 1,64000000,BundesligaLigue 1,Germany,0
48,2018,FR1,L1,9.94956172111757,51.520763926178,0,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,9
49,2018,FR1,L1,8.98554693765282,51.2351133768894,1,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,8
50,2018,FR1,L1,8.04283411925509,50.8855232153057,2,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,7
51,2018,FR1,L1,7.12565885676478,50.4735641434025,3,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,6
52,2018,FR1,L1,6.23814200126717,50.0010870854885,4,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,5
53,2018,FR1,L1,5.38427114918662,49.4702148720371,5,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,4
54,2018,FR1,L1,4.56788272609127,48.8833327018501,6,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,3
55,2018,FR1,L1,3.7926447497057,48.243077425404,7,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,2
56,2018,FR1,L1,3.06204034957667,47.552325697531,8,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,1
57,2018,FR1,L1,2.37935211743811,46.8141810526632,9,18/19,Ligue 1,Bundesliga,58750000,Ligue 1Bundesliga,France,0
58,2018,L1,GB1,9.94808959143682,51.524941009034,0,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,0
59,2018,L1,GB1,8.97197213328501,51.8597782601902,1,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,1
60,2018,L1,GB1,7.98286779465887,52.1540466481995,2,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,2
61,2018,L1,GB1,6.98246188476682,52.4072447767938,3,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,3
62,2018,L1,GB1,5.97245896927115,52.6189412282541,4,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,4
63,2018,L1,GB1,4.95457996592295,52.7887752984918,5,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,5
64,2018,L1,GB1,3.93055921233492,52.9164576116429,6,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,6
65,2018,L1,GB1,2.90214151088858,53.0017706131284,7,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,7
66,2018,L1,GB1,1.8710791558108,53.0445689403394,8,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,8
67,2018,L1,GB1,0.839128947485076,53.0447796703172,9,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,9
68,2018,L1,GB1,-0.191950800914948,53.0024024440044,10,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,10
69,2018,L1,GB1,-1.22040325936971,52.917509466857,11,18/19,Bundesliga,Premier League,261300000,BundesligaPremier League,Germany,11
70,2018,GB1,L1,-1.23339818829052,52.9154848567832,0,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,0
71,2018,GB1,L1,-0.257228145543142,52.5808009394623,1,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,1
72,2018,GB1,L1,0.731922404912512,52.2866879247828,2,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,2
73,2018,GB1,L1,1.73236807512891,52.0336469442759,3,18/19,Premier League,Bundesliga,33750000,Premier LeagueBundesliga,United Kingdom,3
